longitude,latitude,temp_seasonality,temp_annual_range,precip_driest_quarter,max_temp_warmest_month,annual_precipitation,precip_coldest_quarter,isothermality,elevation,sand_frac_pct,gravel_frac_pct
-69.6293018373801,-10.8896828721897,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,304,37.25,0.0
-69.6290690410026,-10.88532593938728,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,304,37.25,0.0
-69.62883634342481,-10.880969000577233,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,295,37.25,0.0
-69.62860374463988,-10.876612055762129,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,295,37.25,0.0
-69.628371244641,-10.872255104944522,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,298,37.25,0.0
-69.66444309113041,-10.861745977799831,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,299,37.25,0.0
-69.6642103967771,-10.857389745829952,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,299,37.25,0.0
-69.66397780138894,-10.853033507848156,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,305,37.25,0.0
-69.66374530495912,-10.848677263857,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,305,37.25,0.0
-69.6598760452581,-10.861970575711071,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,299,37.25,0.0
-69.65964341221962,-10.857614251555844,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,299,37.25,0.0
-69.65941087812051,-10.853257921391153,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,303,37.25,0.0
-69.65917844295394,-10.848901585219572,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,303,37.25,0.0
-69.65484394831827,-10.8534822787175,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,303,37.25,0.0
-69.65461157442041,-10.84912585038844,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,303,37.25,0.0
-69.65027701198356,-10.853706579819589,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,302,37.25,0.0
-69.65004469935985,-10.849350059356016,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,302,37.25,0.0
-69.6493483547062,-10.8362804619791,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,301,37.25,0.0
-69.64571006911768,-10.85393082468983,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,302,37.25,0.0
-69.64547781777361,-10.849574212114696,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,302,37.25,0.0
-69.64478165680403,-10.83650433841785,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,301,37.25,0.0
-69.64160779633487,-10.862868404654316,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,292,37.25,0.0
-69.64137540861034,-10.858511711987282,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,292,37.25,0.0
-69.64114311972199,-10.854155013320616,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,297,37.25,0.0
-69.640910929663,-10.849798308656892,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,297,37.25,0.0
-69.64067883842651,-10.845441597998676,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,296,37.25,0.0
-69.64044684600572,-10.841084881348529,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,296,37.25,0.0
-69.63704071775221,-10.863092721176676,86.11739,15.651001,67.0,31.634,1613.0,67.0,72.021484,292,37.25,0.0
